frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
16384,691793.435853,691793.435853,691793.435853,691793.435853,691793.435853,691793.435853
32,401076.633563,401076.633563,401076.633563,401076.633563,401076.633563,401076.633563
256,963658.141796,963658.141796,963658.141796,963658.141796,963658.141796,963658.141796
4,617554.003095,617554.003095,617554.003095,617554.003095,617554.003095,617554.003095
8192,1350757.421342,1350757.421342,1350757.421342,1350757.421342,1350757.421342,1350757.421342
16,859527.308026,859527.308026,859527.308026,859527.308026,859527.308026,859527.308026
2,665828.862737,665828.862737,665828.862737,665828.862737,665828.862737,665828.862737
64,1062056.277950,1062056.277950,1062056.277950,1062056.277950,1062056.277950,1062056.277950
8,753489.668296,753489.668296,753489.668296,753489.668296,753489.668296,753489.668296
512,1231209.442348,1231209.442348,1231209.442348,1231209.442348,1231209.442348,1231209.442348
1024,1117904.782452,1117904.782452,1117904.782452,1117904.782452,1117904.782452,1117904.782452
32768,2791317.447887,2791317.447887,2791317.447887,2791317.447887,2791317.447887,2791317.447887
128,1434191.111736,1434191.111736,1434191.111736,1434191.111736,1434191.111736,1434191.111736
65536,947476.374675,947476.374675,947476.374675,947476.374675,947476.374675,947476.374675
2048,1723591.286384,1723591.286384,1723591.286384,1723591.286384,1723591.286384,1723591.286384
4096,1490755.049004,1490755.049004,1490755.049004,1490755.049004,1490755.049004,1490755.049004
