frequency,RFDynamic_njobs50_mode0_L2_norm_flow_time,RFDynamic_njobs50_mode1_L2_norm_flow_time,RFDynamic_njobs50_mode2_L2_norm_flow_time,RFDynamic_njobs50_mode4_L2_norm_flow_time,RFDynamic_njobs50_mode8_L2_norm_flow_time,RFDynamic_njobs50_mode16_L2_norm_flow_time,RFDynamic_njobs50_mode0_maximum_flow_time,RFDynamic_njobs50_mode1_maximum_flow_time,RFDynamic_njobs50_mode2_maximum_flow_time,RFDynamic_njobs50_mode4_maximum_flow_time,RFDynamic_njobs50_mode8_maximum_flow_time,RFDynamic_njobs50_mode16_maximum_flow_time
8,472932.803603,472932.803603,472932.803603,472932.803603,472932.803603,472932.803603,9611.000000,9611.000000,9611.000000,9611.000000,9611.000000,9611.000000
65536,22648.681087,22648.681087,22648.681087,22648.681087,22648.681087,22648.681087,1114.000000,1114.000000,1114.000000,1114.000000,1114.000000,1114.000000
32768,1732895.348394,1732895.348394,1732895.348394,1732895.348394,1732895.348394,1732895.348394,29488.000000,29488.000000,29488.000000,29488.000000,29488.000000,29488.000000
4,680437.655165,680437.655165,680437.655165,680437.655165,680437.655165,680437.655165,12361.000000,12361.000000,12361.000000,12361.000000,12361.000000,12361.000000
256,1176538.724039,1176538.724039,1176538.724039,1176538.724039,1176538.724039,1176538.724039,20582.000000,20582.000000,20582.000000,20582.000000,20582.000000,20582.000000
128,1016173.255738,1016173.255738,1016173.255738,1016173.255738,1016173.255738,1016173.255738,15531.000000,15531.000000,15531.000000,15531.000000,15531.000000,15531.000000
2048,1209126.397636,1209126.397636,1209126.397636,1209126.397636,1209126.397636,1209126.397636,20315.000000,20315.000000,20315.000000,20315.000000,20315.000000,20315.000000
1024,1349593.723596,1349593.723596,1349593.723596,1349593.723596,1349593.723596,1349593.723596,23732.000000,23732.000000,23732.000000,23732.000000,23732.000000,23732.000000
2,573327.591535,573327.591535,573327.591535,573327.591535,573327.591535,573327.591535,10347.000000,10347.000000,10347.000000,10347.000000,10347.000000,10347.000000
16,572294.110568,572294.110568,572294.110568,572294.110568,572294.110568,572294.110568,9659.000000,9659.000000,9659.000000,9659.000000,9659.000000,9659.000000
8192,370543.193482,370543.193482,370543.193482,370543.193482,370543.193482,370543.193482,6526.000000,6526.000000,6526.000000,6526.000000,6526.000000,6526.000000
32,1381300.714734,1381300.714734,1381300.714734,1381300.714734,1381300.714734,1381300.714734,23068.000000,23068.000000,23068.000000,23068.000000,23068.000000,23068.000000
512,1748559.591490,1748559.591490,1748559.591490,1748559.591490,1748559.591490,1748559.591490,27336.000000,27336.000000,27336.000000,27336.000000,27336.000000,27336.000000
4096,1733195.852235,1733195.852235,1733195.852235,1733195.852235,1733195.852235,1733195.852235,31517.000000,31517.000000,31517.000000,31517.000000,31517.000000,31517.000000
16384,1721203.474433,1721203.474433,1721203.474433,1721203.474433,1721203.474433,1721203.474433,26516.000000,26516.000000,26516.000000,26516.000000,26516.000000,26516.000000
64,907396.818793,907396.818793,907396.818793,907396.818793,907396.818793,907396.818793,14163.000000,14163.000000,14163.000000,14163.000000,14163.000000,14163.000000
