frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
16,652602.707132,652602.707132,652602.707132,652602.707132,652602.707132,652602.707132
8,456713.815019,456713.815019,456713.815019,456713.815019,456713.815019,456713.815019
32768,1631092.253792,1631092.253792,1631092.253792,1631092.253792,1631092.253792,1631092.253792
4,484249.458414,484249.458414,484249.458414,484249.458414,484249.458414,484249.458414
1024,710885.577792,710885.577792,710885.577792,710885.577792,710885.577792,710885.577792
4096,745311.850171,745311.850171,745311.850171,745311.850171,745311.850171,745311.850171
512,1390374.133078,1390374.133078,1390374.133078,1390374.133078,1390374.133078,1390374.133078
2,503324.804682,503324.804682,503324.804682,503324.804682,503324.804682,503324.804682
8192,1105774.910191,1105774.910191,1105774.910191,1105774.910191,1105774.910191,1105774.910191
64,641013.197817,641013.197817,641013.197817,641013.197817,641013.197817,641013.197817
2048,716646.206442,716646.206442,716646.206442,716646.206442,716646.206442,716646.206442
16384,2003012.285302,2003012.285302,2003012.285302,2003012.285302,2003012.285302,2003012.285302
32,1211579.277110,1211579.277110,1211579.277110,1211579.277110,1211579.277110,1211579.277110
256,1285539.113590,1285539.113590,1285539.113590,1285539.113590,1285539.113590,1285539.113590
128,839908.201114,839908.201114,839908.201114,839908.201114,839908.201114,839908.201114
65536,2653238.972669,2653238.972669,2653238.972669,2653238.972669,2653238.972669,2653238.972669
