frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time,RFDynamic_njobs100_mode1_maximum_flow_time,RFDynamic_njobs100_mode2_maximum_flow_time,RFDynamic_njobs100_mode3_maximum_flow_time,RFDynamic_njobs100_mode4_maximum_flow_time,RFDynamic_njobs100_mode5_maximum_flow_time,RFDynamic_njobs100_mode6_maximum_flow_time
2,184550.338355,184550.338355,184550.338355,184550.338355,184550.338355,184550.338355,3275.000000,3275.000000,3275.000000,3275.000000,3275.000000,3275.000000
16384,581838.678912,581838.678912,581838.678912,581838.678912,581838.678912,581838.678912,9550.000000,9550.000000,9550.000000,9550.000000,9550.000000,9550.000000
4,272653.883829,272653.883829,272653.883829,272653.883829,272653.883829,272653.883829,6467.000000,6467.000000,6467.000000,6467.000000,6467.000000,6467.000000
8192,837092.029095,837092.029095,837092.029095,837092.029095,837092.029095,837092.029095,15584.000000,15584.000000,15584.000000,15584.000000,15584.000000,15584.000000
4096,984365.611171,984365.611171,984365.611171,984365.611171,984365.611171,984365.611171,20097.000000,20097.000000,20097.000000,20097.000000,20097.000000,20097.000000
1024,1070473.493846,1070473.493846,1070473.493846,1070473.493846,1070473.493846,1070473.493846,16348.000000,16348.000000,16348.000000,16348.000000,16348.000000,16348.000000
512,387740.235914,387740.235914,387740.235914,387740.235914,387740.235914,387740.235914,9062.000000,9062.000000,9062.000000,9062.000000,9062.000000,9062.000000
128,1236206.725100,1236206.725100,1236206.725100,1236206.725100,1236206.725100,1236206.725100,22071.000000,22071.000000,22071.000000,22071.000000,22071.000000,22071.000000
65536,243039.343768,243039.343768,243039.343768,243039.343768,243039.343768,243039.343768,6767.000000,6767.000000,6767.000000,6767.000000,6767.000000,6767.000000
8,540951.823072,540951.823072,540951.823072,540951.823072,540951.823072,540951.823072,8334.000000,8334.000000,8334.000000,8334.000000,8334.000000,8334.000000
64,1091803.913605,1091803.913605,1091803.913605,1091803.913605,1091803.913605,1091803.913605,18843.000000,18843.000000,18843.000000,18843.000000,18843.000000,18843.000000
32,588780.556945,588780.556945,588780.556945,588780.556945,588780.556945,588780.556945,10086.000000,10086.000000,10086.000000,10086.000000,10086.000000,10086.000000
2048,833922.946247,833922.946247,833922.946247,833922.946247,833922.946247,833922.946247,14068.000000,14068.000000,14068.000000,14068.000000,14068.000000,14068.000000
256,741891.746181,741891.746181,741891.746181,741891.746181,741891.746181,741891.746181,12084.000000,12084.000000,12084.000000,12084.000000,12084.000000,12084.000000
16,1315505.508602,1315505.508602,1315505.508602,1315505.508602,1315505.508602,1315505.508602,18360.000000,18360.000000,18360.000000,18360.000000,18360.000000,18360.000000
32768,1938559.680672,1938559.680672,1938559.680672,1938559.680672,1938559.680672,1938559.680672,33170.000000,33170.000000,33170.000000,33170.000000,33170.000000,33170.000000
