frequency,RFDynamic_njobs100_mode0_L2_norm_flow_time,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode8_L2_norm_flow_time,RFDynamic_njobs100_mode16_L2_norm_flow_time,RFDynamic_njobs100_mode0_maximum_flow_time,RFDynamic_njobs100_mode1_maximum_flow_time,RFDynamic_njobs100_mode2_maximum_flow_time,RFDynamic_njobs100_mode4_maximum_flow_time,RFDynamic_njobs100_mode8_maximum_flow_time,RFDynamic_njobs100_mode16_maximum_flow_time
2,107735.204761,107735.204761,107735.204761,107735.204761,107735.204761,107735.204761,2604.000000,2604.000000,2604.000000,2604.000000,2604.000000,2604.000000
32,905528.002100,905528.002100,905528.002100,905528.002100,905528.002100,905528.002100,17219.000000,17219.000000,17219.000000,17219.000000,17219.000000,17219.000000
4,425346.868958,425346.868958,425346.868958,425346.868958,425346.868958,425346.868958,8837.000000,8837.000000,8837.000000,8837.000000,8837.000000,8837.000000
2048,1038846.073158,1038846.073158,1038846.073158,1038846.073158,1038846.073158,1038846.073158,17148.000000,17148.000000,17148.000000,17148.000000,17148.000000,17148.000000
16,948284.771728,948284.771728,948284.771728,948284.771728,948284.771728,948284.771728,15943.000000,15943.000000,15943.000000,15943.000000,15943.000000,15943.000000
128,1131155.091319,1131155.091319,1131155.091319,1131155.091319,1131155.091319,1131155.091319,20449.000000,20449.000000,20449.000000,20449.000000,20449.000000,20449.000000
8,1007109.329456,1007109.329456,1007109.329456,1007109.329456,1007109.329456,1007109.329456,16285.000000,16285.000000,16285.000000,16285.000000,16285.000000,16285.000000
64,727489.568406,727489.568406,727489.568406,727489.568406,727489.568406,727489.568406,12781.000000,12781.000000,12781.000000,12781.000000,12781.000000,12781.000000
256,1078495.644450,1078495.644450,1078495.644450,1078495.644450,1078495.644450,1078495.644450,18920.000000,18920.000000,18920.000000,18920.000000,18920.000000,18920.000000
8192,1511267.949489,1511267.949489,1511267.949489,1511267.949489,1511267.949489,1511267.949489,24533.000000,24533.000000,24533.000000,24533.000000,24533.000000,24533.000000
65536,1486547.747019,1486547.747019,1486547.747019,1486547.747019,1486547.747019,1486547.747019,29155.000000,29155.000000,29155.000000,29155.000000,29155.000000,29155.000000
512,1111047.633323,1111047.633323,1111047.633323,1111047.633323,1111047.633323,1111047.633323,19423.000000,19423.000000,19423.000000,19423.000000,19423.000000,19423.000000
1024,1029963.985935,1029963.985935,1029963.985935,1029963.985935,1029963.985935,1029963.985935,16689.000000,16689.000000,16689.000000,16689.000000,16689.000000,16689.000000
16384,3075846.336642,3075846.336642,3075846.336642,3075846.336642,3075846.336642,3075846.336642,56159.000000,56159.000000,56159.000000,56159.000000,56159.000000,56159.000000
4096,1764860.235829,1764860.235829,1764860.235829,1764860.235829,1764860.235829,1764860.235829,27314.000000,27314.000000,27314.000000,27314.000000,27314.000000,27314.000000
32768,2770757.907935,2770757.907935,2770757.907935,2770757.907935,2770757.907935,2770757.907935,48137.000000,48137.000000,48137.000000,48137.000000,48137.000000,48137.000000
