frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time,RFDynamic_njobs100_mode1_maximum_flow_time,RFDynamic_njobs100_mode2_maximum_flow_time,RFDynamic_njobs100_mode3_maximum_flow_time,RFDynamic_njobs100_mode4_maximum_flow_time,RFDynamic_njobs100_mode5_maximum_flow_time,RFDynamic_njobs100_mode6_maximum_flow_time
512,744042.365573,744042.365573,744042.365573,744042.365573,744042.365573,744042.365573,13415.000000,13415.000000,13415.000000,13415.000000,13415.000000,13415.000000
4,247355.345010,247355.345010,247355.345010,247355.345010,247355.345010,247355.345010,3911.000000,3911.000000,3911.000000,3911.000000,3911.000000,3911.000000
16384,434539.219702,434539.219702,434539.219702,434539.219702,434539.219702,434539.219702,12452.000000,12452.000000,12452.000000,12452.000000,12452.000000,12452.000000
1024,1041288.925200,1041288.925200,1041288.925200,1041288.925200,1041288.925200,1041288.925200,21511.000000,21511.000000,21511.000000,21511.000000,21511.000000,21511.000000
8,615761.060860,615761.060860,615761.060860,615761.060860,615761.060860,615761.060860,11007.000000,11007.000000,11007.000000,11007.000000,11007.000000,11007.000000
2,333679.461957,333679.461957,333679.461957,333679.461957,333679.461957,333679.461957,6801.000000,6801.000000,6801.000000,6801.000000,6801.000000,6801.000000
16,819216.644059,819216.644059,819216.644059,819216.644059,819216.644059,819216.644059,14135.000000,14135.000000,14135.000000,14135.000000,14135.000000,14135.000000
32768,1085458.577771,1085458.577771,1085458.577771,1085458.577771,1085458.577771,1085458.577771,22414.000000,22414.000000,22414.000000,22414.000000,22414.000000,22414.000000
64,748135.226220,748135.226220,748135.226220,748135.226220,748135.226220,748135.226220,14135.000000,14135.000000,14135.000000,14135.000000,14135.000000,14135.000000
32,1239746.022828,1239746.022828,1239746.022828,1239746.022828,1239746.022828,1239746.022828,20259.000000,20259.000000,20259.000000,20259.000000,20259.000000,20259.000000
2048,1110902.841670,1110902.841670,1110902.841670,1110902.841670,1110902.841670,1110902.841670,17193.000000,17193.000000,17193.000000,17193.000000,17193.000000,17193.000000
128,1018239.130903,1018239.130903,1018239.130903,1018239.130903,1018239.130903,1018239.130903,15888.000000,15888.000000,15888.000000,15888.000000,15888.000000,15888.000000
256,1384345.118883,1384345.118883,1384345.118883,1384345.118883,1384345.118883,1384345.118883,21598.000000,21598.000000,21598.000000,21598.000000,21598.000000,21598.000000
4096,1186194.721754,1186194.721754,1186194.721754,1186194.721754,1186194.721754,1186194.721754,18125.000000,18125.000000,18125.000000,18125.000000,18125.000000,18125.000000
65536,2583014.263494,2583014.263494,2583014.263494,2583014.263494,2583014.263494,2583014.263494,35423.000000,35423.000000,35423.000000,35423.000000,35423.000000,35423.000000
8192,1634577.563360,1634577.563360,1634577.563360,1634577.563360,1634577.563360,1634577.563360,25331.000000,25331.000000,25331.000000,25331.000000,25331.000000,25331.000000
