frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time,RFDynamic_njobs100_mode1_maximum_flow_time,RFDynamic_njobs100_mode2_maximum_flow_time,RFDynamic_njobs100_mode3_maximum_flow_time,RFDynamic_njobs100_mode4_maximum_flow_time,RFDynamic_njobs100_mode5_maximum_flow_time,RFDynamic_njobs100_mode6_maximum_flow_time
16384,421585.872189,421585.872189,421585.872189,421585.872189,421585.872189,421585.872189,9246.000000,9246.000000,9246.000000,9246.000000,9246.000000,9246.000000
128,463700.888895,463700.888895,463700.888895,463700.888895,463700.888895,463700.888895,12274.000000,12274.000000,12274.000000,12274.000000,12274.000000,12274.000000
32768,1067977.721623,1067977.721623,1067977.721623,1067977.721623,1067977.721623,1067977.721623,30994.000000,30994.000000,30994.000000,30994.000000,30994.000000,30994.000000
8,424612.541208,424612.541208,424612.541208,424612.541208,424612.541208,424612.541208,8917.000000,8917.000000,8917.000000,8917.000000,8917.000000,8917.000000
32,569252.087622,569252.087622,569252.087622,569252.087622,569252.087622,569252.087622,12401.000000,12401.000000,12401.000000,12401.000000,12401.000000,12401.000000
16,881423.832906,881423.832906,881423.832906,881423.832906,881423.832906,881423.832906,16319.000000,16319.000000,16319.000000,16319.000000,16319.000000,16319.000000
256,1346554.641400,1346554.641400,1346554.641400,1346554.641400,1346554.641400,1346554.641400,23436.000000,23436.000000,23436.000000,23436.000000,23436.000000,23436.000000
2,406984.274678,406984.274678,406984.274678,406984.274678,406984.274678,406984.274678,8758.000000,8758.000000,8758.000000,8758.000000,8758.000000,8758.000000
512,1112761.149756,1112761.149756,1112761.149756,1112761.149756,1112761.149756,1112761.149756,17136.000000,17136.000000,17136.000000,17136.000000,17136.000000,17136.000000
4,599735.732319,599735.732319,599735.732319,599735.732319,599735.732319,599735.732319,10387.000000,10387.000000,10387.000000,10387.000000,10387.000000,10387.000000
1024,727160.294294,727160.294294,727160.294294,727160.294294,727160.294294,727160.294294,13032.000000,13032.000000,13032.000000,13032.000000,13032.000000,13032.000000
4096,1735650.158517,1735650.158517,1735650.158517,1735650.158517,1735650.158517,1735650.158517,27541.000000,27541.000000,27541.000000,27541.000000,27541.000000,27541.000000
64,935425.165246,935425.165246,935425.165246,935425.165246,935425.165246,935425.165246,16880.000000,16880.000000,16880.000000,16880.000000,16880.000000,16880.000000
2048,1337002.590828,1337002.590828,1337002.590828,1337002.590828,1337002.590828,1337002.590828,23272.000000,23272.000000,23272.000000,23272.000000,23272.000000,23272.000000
8192,1775033.786105,1775033.786105,1775033.786105,1775033.786105,1775033.786105,1775033.786105,28907.000000,28907.000000,28907.000000,28907.000000,28907.000000,28907.000000
65536,3736988.562555,3736988.562555,3736988.562555,3736988.562555,3736988.562555,3736988.562555,60768.000000,60768.000000,60768.000000,60768.000000,60768.000000,60768.000000
