frequency,RFDynamic_njobs100_mode0_L2_norm_flow_time,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode8_L2_norm_flow_time,RFDynamic_njobs100_mode16_L2_norm_flow_time,RFDynamic_njobs100_mode0_maximum_flow_time,RFDynamic_njobs100_mode1_maximum_flow_time,RFDynamic_njobs100_mode2_maximum_flow_time,RFDynamic_njobs100_mode4_maximum_flow_time,RFDynamic_njobs100_mode8_maximum_flow_time,RFDynamic_njobs100_mode16_maximum_flow_time
2,452614.474377,452614.474377,452614.474377,452614.474377,452614.474377,452614.474377,7570.000000,7570.000000,7570.000000,7570.000000,7570.000000,7570.000000
8,717849.357097,717849.357097,717849.357097,717849.357097,717849.357097,717849.357097,13650.000000,13650.000000,13650.000000,13650.000000,13650.000000,13650.000000
64,952799.575391,952799.575391,952799.575391,952799.575391,952799.575391,952799.575391,14062.000000,14062.000000,14062.000000,14062.000000,14062.000000,14062.000000
16,519400.172308,519400.172308,519400.172308,519400.172308,519400.172308,519400.172308,8367.000000,8367.000000,8367.000000,8367.000000,8367.000000,8367.000000
512,1813199.393818,1813199.393818,1813199.393818,1813199.393818,1813199.393818,1813199.393818,32607.000000,32607.000000,32607.000000,32607.000000,32607.000000,32607.000000
4,243690.274664,243690.274664,243690.274664,243690.274664,243690.274664,243690.274664,5456.000000,5456.000000,5456.000000,5456.000000,5456.000000,5456.000000
256,1265968.086413,1265968.086413,1265968.086413,1265968.086413,1265968.086413,1265968.086413,22044.000000,22044.000000,22044.000000,22044.000000,22044.000000,22044.000000
4096,1607310.070554,1607310.070554,1607310.070554,1607310.070554,1607310.070554,1607310.070554,26454.000000,26454.000000,26454.000000,26454.000000,26454.000000,26454.000000
128,1070090.606142,1070090.606142,1070090.606142,1070090.606142,1070090.606142,1070090.606142,19126.000000,19126.000000,19126.000000,19126.000000,19126.000000,19126.000000
32768,1497493.420316,1497493.420316,1497493.420316,1497493.420316,1497493.420316,1497493.420316,24764.000000,24764.000000,24764.000000,24764.000000,24764.000000,24764.000000
1024,1417850.759827,1417850.759827,1417850.759827,1417850.759827,1417850.759827,1417850.759827,23964.000000,23964.000000,23964.000000,23964.000000,23964.000000,23964.000000
2048,1650751.500381,1650751.500381,1650751.500381,1650751.500381,1650751.500381,1650751.500381,31195.000000,31195.000000,31195.000000,31195.000000,31195.000000,31195.000000
8192,970553.526661,970553.526661,970553.526661,970553.526661,970553.526661,970553.526661,17243.000000,17243.000000,17243.000000,17243.000000,17243.000000,17243.000000
32,772487.599403,772487.599403,772487.599403,772487.599403,772487.599403,772487.599403,15305.000000,15305.000000,15305.000000,15305.000000,15305.000000,15305.000000
16384,2130988.264897,2130988.264897,2130988.264897,2130988.264897,2130988.264897,2130988.264897,29346.000000,29346.000000,29346.000000,29346.000000,29346.000000,29346.000000
65536,4813867.580343,4813867.580343,4813867.580343,4813867.580343,4813867.580343,4813867.580343,71565.000000,71565.000000,71565.000000,71565.000000,71565.000000,71565.000000
