frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time,RFDynamic_njobs100_mode1_maximum_flow_time,RFDynamic_njobs100_mode2_maximum_flow_time,RFDynamic_njobs100_mode3_maximum_flow_time,RFDynamic_njobs100_mode4_maximum_flow_time,RFDynamic_njobs100_mode5_maximum_flow_time,RFDynamic_njobs100_mode6_maximum_flow_time
1024,17821869.929845,17821869.929845,17821869.929845,17821869.929845,17821869.929845,17821869.929845,302169.000000,302169.000000,302169.000000,302169.000000,302169.000000,302169.000000
128,14952195.091938,14952195.091938,14952195.091938,14952195.091938,14952195.091938,14952195.091938,258590.000000,258590.000000,258590.000000,258590.000000,258590.000000,258590.000000
16384,12573036.473077,12573036.473077,12573036.473077,12573036.473077,12573036.473077,12573036.473077,189391.000000,189391.000000,189391.000000,189391.000000,189391.000000,189391.000000
16,14913160.960465,14913160.960465,14913160.960465,14913160.960465,14913160.960465,14913160.960465,258047.000000,258047.000000,258047.000000,258047.000000,258047.000000,258047.000000
2048,14720598.421442,14720598.421442,14720598.421442,14720598.421442,14720598.421442,14720598.421442,247856.000000,247856.000000,247856.000000,247856.000000,247856.000000,247856.000000
256,15929940.145715,15929940.145715,15929940.145715,15929940.145715,15929940.145715,15929940.145715,271239.000000,271239.000000,271239.000000,271239.000000,271239.000000,271239.000000
2,14163742.546425,14163742.546425,14163742.546425,14163742.546425,14163742.546425,14163742.546425,247721.000000,247721.000000,247721.000000,247721.000000,247721.000000,247721.000000
32768,18507312.298896,18484693.593740,18485765.369156,18464844.242157,18481778.348927,18507312.298896,281248.000000,281248.000000,281248.000000,281248.000000,281248.000000,281248.000000
32,14862815.329758,14862815.329758,14862815.329758,14862815.329758,14862815.329758,14862815.329758,256609.000000,256609.000000,256609.000000,256609.000000,256609.000000,256609.000000
4096,19054535.339449,19054535.339449,19054535.339449,19054535.339449,19054535.339449,19054535.339449,323258.000000,323258.000000,323258.000000,323258.000000,323258.000000,323258.000000
4,14737359.020568,14737359.020568,14737359.020568,14737359.020568,14737359.020568,14737359.020568,258482.000000,258482.000000,258482.000000,258482.000000,258482.000000,258482.000000
512,14662112.552201,14662112.552201,14662112.552201,14662112.552201,14662112.552201,14662112.552201,263134.000000,263134.000000,263134.000000,263134.000000,263134.000000,263134.000000
64,14705760.471973,14705760.471973,14705760.471973,14705760.471973,14705760.471973,14705760.471973,255702.000000,255702.000000,255702.000000,255702.000000,255702.000000,255702.000000
65536,12985129.575185,12985129.575185,12985129.575185,12985129.575185,12985129.575185,12985129.575185,272599.000000,272599.000000,272599.000000,272599.000000,272599.000000,272599.000000
8192,15181651.033108,15452994.897486,15452994.897486,15452994.897486,15452994.897486,15452994.897486,267126.000000,267126.000000,267126.000000,267126.000000,267126.000000,267126.000000
8,14642199.616909,14642199.616909,14642199.616909,14642199.616909,14642199.616909,14642199.616909,255293.000000,255293.000000,255293.000000,255293.000000,255293.000000,255293.000000
