frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time,RFDynamic_njobs100_mode1_maximum_flow_time,RFDynamic_njobs100_mode2_maximum_flow_time,RFDynamic_njobs100_mode3_maximum_flow_time,RFDynamic_njobs100_mode4_maximum_flow_time,RFDynamic_njobs100_mode5_maximum_flow_time,RFDynamic_njobs100_mode6_maximum_flow_time
65536,76476152.650955,74552334.534498,73842708.545620,73583942.406342,71603219.488896,29501526.452130,1071001.000000,1071001.000000,1076314.000000,1092051.000000,1109077.000000,1010406.000000
8192,95245497.471254,90963239.726204,92437249.354228,88421754.374717,80857744.071884,34607566.998920,1235607.000000,1181780.000000,1181634.000000,1181634.000000,1181634.000000,1181780.000000
32,99028618.435170,92361118.573563,87486558.255809,74947131.028998,63752366.611491,47581109.076013,1184471.000000,1184471.000000,1186405.000000,1190686.000000,1008876.000000,1008876.000000
256,98682293.892834,91773182.020818,82967358.155546,77601407.919539,70810820.289729,52551255.478964,1190590.000000,1193935.000000,1169390.000000,1169863.000000,1169863.000000,1169863.000000
64,99450988.050875,96270094.477500,86996622.592266,70867693.844515,58717281.529769,50768945.519442,1143579.000000,1143579.000000,1143579.000000,1143579.000000,1048340.000000,1048392.000000
2048,98870464.796212,95098320.714665,90831718.680125,87800018.188638,77115537.360771,49384323.653427,1078001.000000,1078001.000000,1078001.000000,1080382.000000,1080382.000000,1080382.000000
128,101340019.814761,97386413.706485,90839920.439276,80841618.970115,75445797.151586,49524646.901586,1115750.000000,1115750.000000,1115750.000000,1115750.000000,1097905.000000,1058020.000000
8,103584376.719059,97648931.757088,89085744.517681,77993537.696056,68707381.691703,48447165.841072,1123357.000000,1123357.000000,1123357.000000,1123357.000000,1123357.000000,1040494.000000
1024,102981593.202059,100026436.917859,95774961.299604,89075734.560193,80214389.750824,48629555.954241,1126051.000000,1126051.000000,1126051.000000,1135490.000000,1135490.000000,1077344.000000
4,102621147.277430,95442827.149483,83675810.575777,67965944.999838,50479447.945465,46879299.900767,1257292.000000,1258419.000000,1258419.000000,1234045.000000,1138815.000000,1138438.000000
16,109040979.243358,99457816.749709,91945026.356479,73220291.016764,61712168.158391,50006326.282710,1194381.000000,1194381.000000,1194381.000000,1194381.000000,1167430.000000,1106563.000000
16384,109159124.834115,108021322.531216,109350629.872449,107981073.427998,104634049.063980,53518093.444369,1261198.000000,1261198.000000,1257124.000000,1261198.000000,1261198.000000,1191062.000000
512,107750388.455802,99361630.560400,89166110.001241,79105408.196594,62173464.355057,49810251.977880,1204252.000000,1196614.000000,1199634.000000,1174462.000000,1142091.000000,1098941.000000
4096,111183342.135451,108917540.993822,100415319.516268,93596983.838387,80428112.659121,52183513.397448,1250099.000000,1249181.000000,1250099.000000,1250099.000000,1161656.000000,1100157.000000
2,104141922.405591,94129794.871455,86254216.432941,68146219.311520,52645507.622979,48237332.667345,1212915.000000,1212915.000000,1212915.000000,1212915.000000,1194980.000000,1110633.000000
32768,160189373.067019,151826090.767160,149422869.645102,145054236.839923,137836767.327738,67644897.277745,1732079.000000,1732079.000000,1732079.000000,1732079.000000,1717158.000000,1461014.000000
