frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,121595.216662,64335.000000,0.000000
4,329849.163943,110006.000000,0.000000
8,400828.367625,209375.000000,0.000000
16,114927.104497,44680.000000,0.000000
32,438509.693408,254017.000000,0.000000
64,161551.847594,76719.000000,0.000000
128,383770.060850,175146.000000,0.000000
256,487672.872859,283605.000000,0.000000
512,138145.454884,82162.000000,0.000000
1024,502669.500298,194063.000000,0.000000
2048,217021.084662,150618.000000,0.000000
4096,540940.225789,192137.000000,0.000000
8192,211161.538404,101552.000000,0.000000
16384,435584.861489,166468.000000,0.000000
32768,639967.322373,189446.000000,0.000000
65536,700105.275810,129921.000000,0.000000
