frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,241886.632037,103350.000000,1795.486007
4,231627.986081,115041.000000,110.584809
8,789403.209307,296795.000000,208.240246
16,135560.546952,80101.000000,383.703010
32,317033.155940,185017.000000,2024.971852
64,914196.469578,329379.000000,725.913218
128,722593.566627,257964.000000,5738.040781
256,762426.457504,254541.000000,6827.719605
512,339264.044611,170768.000000,23182.082672
1024,293473.625050,117589.000000,13322.696536
2048,563605.799205,179988.000000,67256.254014
4096,963437.429082,273852.000000,116003.635245
8192,1297335.802155,338696.000000,443811.937369
16384,230013.512536,122753.000000,70753.347893
32768,1144617.231673,279833.000000,549907.990698
65536,328641.310151,122068.000000,291618.744360
