frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,1702034.800109,289550.000000,70946.110295
4,1647052.830750,299462.000000,22.203603
8,1270418.821779,236495.000000,154.366447
16,842823.558538,161703.000000,97051.421669
32,318279.975281,80980.000000,166.724323
64,2361018.921860,300443.000000,34616.004275
128,2297637.623149,302751.000000,75652.498723
256,2050028.484813,286875.000000,95435.218148
512,1136848.027705,205059.000000,164471.670415
1024,1999068.851918,285553.000000,281676.826599
2048,2524482.980052,300442.000000,446026.289026
4096,2083385.608623,248005.000000,1066635.459784
8192,2250817.671866,171735.000000,1227011.114353
16384,3800237.323786,297100.000000,2863848.501509
32768,1813779.610385,194087.000000,1099222.055592
65536,159200.490040,26882.000000,0.000000
