frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,287032.121574,125497.000000,23.916521
4,191427.973938,170015.000000,20.518285
8,361877.202653,229466.000000,129.185913
16,339458.532702,241778.000000,203.928909
32,792595.463105,300459.000000,919.788563
64,589271.896379,197996.000000,18747.739944
128,147253.026685,106778.000000,238.195298
256,324445.268246,195703.000000,14472.422603
512,676839.215570,280571.000000,231327.156603
1024,770315.991514,266785.000000,11728.065783
2048,494852.507835,198475.000000,145912.164928
4096,321582.206919,136954.000000,42467.428154
8192,692623.163492,314895.000000,50353.982841
16384,877205.223141,206311.000000,485699.832155
32768,376365.920409,155050.000000,22143.961412
65536,196982.331020,115369.000000,0.000000
