frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,100313.927612,86633.000000,16.911535
4,189544.063041,176142.000000,83.892789
8,617300.076633,283973.000000,24.596748
16,433530.575220,222789.000000,86.931007
32,309509.462421,184520.000000,667.195623
64,924593.037878,305303.000000,967.125121
128,437364.041300,200846.000000,125.904726
256,252594.578182,115024.000000,1994.564363
512,509244.022183,260403.000000,1376.050508
1024,288131.706858,164577.000000,1360.441105
2048,186235.662952,154169.000000,4890.000102
4096,499021.312951,233631.000000,171188.172001
8192,154233.734919,68343.000000,18363.630142
16384,199018.673232,176079.000000,7445.130892
32768,584591.782938,181086.000000,429805.099998
65536,562862.462077,220091.000000,458422.495477
