frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,314737.140166,136996.000000,0.000000
4,270974.313427,119897.000000,0.000000
8,683131.473066,234494.000000,0.000000
16,745389.763661,262244.000000,0.000000
32,784598.519210,284199.000000,0.000000
64,711543.408641,272177.000000,0.000000
128,375881.896553,150475.000000,0.000000
256,1011740.232358,222402.000000,0.000000
512,1193406.287054,310180.000000,0.000000
1024,570802.179695,252059.000000,0.000000
2048,1195269.736688,299887.000000,0.000000
4096,661986.824277,117070.000000,0.000000
8192,935774.731368,142059.000000,0.000000
16384,1332843.644673,145483.000000,0.000000
32768,2316085.261430,215795.000000,0.000000
65536,2295260.849832,254327.000000,0.000000
