frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,224201.485022,203063.000000,475.408246
4,433484.883642,194153.000000,19.000000
8,552258.282868,275569.000000,120.112447
16,327066.096759,137289.000000,52.211110
32,822364.647636,289238.000000,94.514549
64,105681.968680,52290.000000,589.134110
128,348513.950036,183232.000000,868.846362
256,503506.719484,230747.000000,3372.479058
512,550703.087741,272217.000000,21374.772654
1024,339136.528389,166521.000000,24357.076631
2048,586713.547676,348415.000000,25343.516212
4096,834867.072412,301310.000000,380646.912281
8192,862477.588289,207821.000000,486251.973729
16384,731197.320656,191728.000000,299510.501582
32768,1919270.670447,253010.000000,670913.838906
65536,3234568.369722,182069.000000,0.000000
