frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,87848.943244,27420.000000,41.581246
4,254233.587299,150896.000000,22.472205
8,245078.166459,154838.000000,48.507731
16,289411.055910,143252.000000,16.911535
32,79693.680025,32002.000000,5138.790811
64,617020.395776,280304.000000,5784.354502
128,796988.783180,239448.000000,14319.407879
256,310922.111525,219206.000000,28858.578083
512,364438.944973,235527.000000,13101.364547
1024,253365.867239,110340.000000,2337.178427
2048,252751.869946,126324.000000,127188.503498
4096,364480.134623,78244.000000,137680.434946
8192,1720014.871809,292017.000000,864284.582811
16384,390327.967135,210369.000000,75826.830120
32768,3111647.927772,234637.000000,2089284.830652
65536,7294360.237264,304912.000000,4516475.627103
