Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
22,4.073000,262144.000000,873567.417346,258840.000000
22,4.639000,32768.000000,1314984.218306,284682.000000
22,5.649000,4096.000000,2604259.631914,301809.000000
22,7.918000,512.000000,5278190.356468,295001.000000
22,16.772000,64.000000,11488823.789512,307011.000000
22,30.000000,6.000000,14508252.858205,305504.000000
22,30.000000,9.000000,13469573.671067,304141.000000
22,30.000000,12.000000,12743030.160180,301151.000000
22,30.000000,15.000000,12269410.551289,304377.000000
22,30.000000,18.000000,11899629.579541,305681.000000
