frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,1836826.471457,216667.000000,22404.713053
4,1925097.895922,282131.000000,16637.945246
8,2715171.983331,298268.000000,65256.487057
16,431635.677175,49282.000000,4534.518166
32,3322111.025771,302722.000000,18625.817217
64,2944819.171147,293648.000000,174769.119635
128,4909358.286589,299800.000000,102349.707366
256,4587852.039411,296095.000000,126065.859919
512,4804411.077522,301537.000000,141718.513025
1024,6334392.456813,295848.000000,715831.942517
2048,1204281.083861,120846.000000,412466.637087
4096,4319300.886270,258286.000000,1143033.227114
8192,2598115.285848,265035.000000,1010792.133204
16384,3122264.008971,302028.000000,1182246.160854
32768,7646538.911716,305091.000000,3496541.319250
65536,6112716.359110,254391.000000,3835902.765569
