frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,3605090.925393,206780.000000,130440.113366
4,5629774.853336,133871.000000,25.000000
8,3658273.200146,88018.000000,91879.919591
16,4249572.914198,284821.000000,47866.144486
32,4508989.437030,127480.000000,84179.486254
64,6321943.798337,295809.000000,513127.611592
128,5208914.069782,226386.000000,485769.092944
256,6803428.970993,160484.000000,390689.306268
512,5047645.896523,130230.000000,1114498.793980
1024,10343180.203986,209655.000000,2033636.635214
2048,3238090.218756,303776.000000,336739.330631
4096,7075945.293952,179875.000000,929701.672103
8192,11863042.041115,267432.000000,4043272.707838
16384,9185383.326730,204423.000000,5110463.567663
32768,3725647.274437,107694.000000,883685.761212
65536,6101797.833804,155790.000000,5319968.698317
