frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2710858.448454,302481.000000,0.000000
4,951200.556636,118853.000000,0.000000
8,3457725.385995,284852.000000,0.000000
16,3183660.971519,292919.000000,0.000000
32,4121714.145001,285536.000000,0.000000
64,5144479.667839,299392.000000,0.000000
128,6857393.420853,298174.000000,0.000000
256,5207013.310018,298510.000000,0.000000
512,2266224.259340,263626.000000,0.000000
1024,6589583.958509,290779.000000,0.000000
2048,3882238.326761,306324.000000,0.000000
4096,1386961.683443,127842.000000,0.000000
8192,6293037.185629,300893.000000,0.000000
16384,3699358.342706,230361.000000,0.000000
32768,3338514.076413,90815.000000,0.000000
65536,4022000.299823,287352.000000,0.000000
