frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2190910.459663,300777.000000,0.000000
4,2682475.706390,287914.000000,0.000000
8,2457145.958993,209692.000000,0.000000
16,2811703.433180,303488.000000,0.000000
32,2696567.847278,305406.000000,0.000000
64,3753257.526016,304495.000000,0.000000
128,4378442.661481,303319.000000,0.000000
256,3451733.204034,296140.000000,0.000000
512,5369865.122905,294885.000000,0.000000
1024,3785482.886283,299591.000000,0.000000
2048,6184584.043175,294101.000000,0.000000
4096,6578290.120994,254815.000000,0.000000
8192,2351825.393907,275660.000000,0.000000
16384,9857899.236651,297811.000000,0.000000
32768,7112694.835061,195024.000000,0.000000
65536,2440785.865047,184428.000000,0.000000
