frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,1363160.976299,192680.000000,0.000000
4,1551498.747997,198817.000000,0.000000
8,2410528.098135,278611.000000,0.000000
16,2897465.106465,290298.000000,0.000000
32,2044823.198606,236929.000000,0.000000
64,5122675.607804,305766.000000,0.000000
128,4855105.885690,299551.000000,0.000000
256,3933628.837054,300815.000000,0.000000
512,4037489.164095,303522.000000,0.000000
1024,4194983.656817,304879.000000,0.000000
2048,5156529.931125,306785.000000,0.000000
4096,3685722.231939,208836.000000,0.000000
8192,3689847.722944,274285.000000,0.000000
16384,2443117.087747,107745.000000,0.000000
32768,2087705.457230,122146.000000,0.000000
65536,7042466.194749,304250.000000,0.000000
