frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,3292420.599627,283280.000000,0.000000
4,3527609.689708,304504.000000,0.000000
8,2181903.348326,260121.000000,0.000000
16,2902125.791827,280722.000000,0.000000
32,4228599.521924,258259.000000,0.000000
64,4027634.365050,266087.000000,0.000000
128,5672140.480549,299508.000000,0.000000
256,6144547.147322,303779.000000,0.000000
512,4424648.215205,272840.000000,0.000000
1024,4211536.139127,273554.000000,0.000000
2048,5074787.880475,289226.000000,0.000000
4096,5116844.240637,265777.000000,0.000000
8192,6614004.596197,292951.000000,0.000000
16384,11999723.585339,298125.000000,0.000000
32768,4305236.577661,151373.000000,0.000000
65536,9753981.422783,222480.000000,0.000000
