frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,25080032.363931,547942.000000,0.000000
4,24572026.294622,541194.000000,0.000000
8,24940748.506000,544200.000000,0.000000
16,25372420.633238,546986.000000,0.000000
32,25364315.545005,548211.000000,0.000000
64,25520780.221328,546519.000000,0.000000
128,26044032.321160,555402.000000,0.000000
256,25695359.334404,549290.000000,0.000000
512,25400130.490713,549513.000000,0.000000
1024,25793873.914298,544287.000000,0.000000
2048,27245136.254269,559017.000000,0.000000
4096,25708248.009934,538412.000000,0.000000
8192,29720077.374233,597507.000000,0.000000
16384,29303556.612025,568314.000000,0.000000
32768,40986208.089349,701866.000000,0.000000
65536,42133490.323309,754141.000000,0.000000
