frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
2,16773835.542239,532568.000000
4,16212170.978369,510278.000000
8,17240223.654187,547015.000000
16,16849232.516293,527230.000000
32,17346709.409728,533017.000000
64,16972507.609241,517593.000000
128,16820308.451940,499528.000000
256,18393945.716080,529805.000000
512,17701998.651041,528453.000000
1024,18392315.990242,557913.000000
2048,21145489.050652,554256.000000
4096,17700309.513583,642024.000000
8192,17390399.073557,538620.000000
16384,19242638.268532,516781.000000
32768,16030085.444634,547261.000000
65536,7582701.179102,459979.000000
