frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,231757.623650,135583.000000,80.919713
4,63624.234887,14882.000000,332.636438
8,92988.364493,28652.000000,1132.360808
16,362361.149907,115409.000000,15100.524858
32,355661.558838,129281.000000,828.940287
64,187468.532175,75508.000000,3459.106966
128,642853.308251,271614.000000,19953.266951
256,645787.219874,162951.000000,9131.296513
512,346906.381919,131587.000000,47127.329895
1024,456747.922207,245828.000000,146268.033623
2048,797882.149667,324050.000000,52474.466305
4096,640254.772119,238652.000000,23934.215028
8192,427648.289802,101510.000000,226244.168040
16384,1208343.091732,300213.000000,772202.718692
32768,170985.688936,59380.000000,0.000000
65536,209551.200137,106692.000000,0.000000
