frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,285241.956234,246382.000000,33.852622
4,217698.879154,115835.000000,8454.575152
8,65986.592691,20710.000000,237.248815
16,368914.351969,358131.000000,214.965113
32,716572.012662,278678.000000,1744.629474
64,232156.213591,118460.000000,6252.957700
128,428787.268336,301927.000000,4729.859935
256,161859.496008,89083.000000,2170.729371
512,250957.259082,146056.000000,54382.781337
1024,470962.273760,268238.000000,8555.253240
2048,404458.065442,292807.000000,30695.318503
4096,274371.450997,152214.000000,8146.543868
8192,264370.026192,104143.000000,199542.297408
16384,587775.541921,310163.000000,422515.356044
32768,131928.230573,32298.000000,24411.311599
65536,522863.569242,269418.000000,314189.910564
