frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,298404.812153,118264.000000,1379.975362
4,102202.076799,29447.000000,544.364767
8,262505.929529,71315.000000,1910.703012
16,286916.232530,110397.000000,566.447703
32,686681.869276,209303.000000,1245.460557
64,164419.089625,50070.000000,2495.665843
128,651128.959663,176469.000000,55196.657571
256,779153.091838,222670.000000,37716.868415
512,276197.000847,90850.000000,12505.989045
1024,762268.038558,226267.000000,73786.863031
2048,509619.094026,152772.000000,64178.667842
4096,1347272.920804,284498.000000,321359.963451
8192,442201.565565,131395.000000,175704.096995
16384,1104940.501169,131849.000000,243453.957766
32768,1913117.344790,290709.000000,1149233.085873
65536,944765.748740,165354.000000,795258.424205
