frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,66098.670705,22085.000000,19.287302
4,187226.636628,88256.000000,978.569875
8,257247.342964,122588.000000,256.220608
16,518808.511202,191843.000000,6652.754091
32,377800.473647,258217.000000,451.019955
64,97093.006478,33550.000000,933.507365
128,558697.126514,271058.000000,644.183980
256,707612.620560,267633.000000,62827.433936
512,200432.956993,104576.000000,6164.244236
1024,797054.553597,294335.000000,83762.686950
2048,268026.812064,156055.000000,3460.352872
4096,264508.190459,60887.000000,114635.518497
8192,541359.536016,304755.000000,312652.863763
16384,252135.936257,99259.000000,8880.180629
32768,1026678.626471,154312.000000,388395.252300
65536,1126860.545462,256076.000000,777842.316730
