frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,139739.176128,60690.000000,607.496502
4,225366.523344,139527.000000,878.124137
8,129426.932989,60767.000000,80.355460
16,610471.927951,197651.000000,38016.613947
32,373895.134161,163934.000000,2669.027538
64,127947.867583,47298.000000,3186.432645
128,559423.754302,130300.000000,16596.502523
256,556361.650685,232875.000000,44658.781869
512,605964.940096,260176.000000,88944.998915
1024,243319.781584,48846.000000,11201.628274
2048,785489.101922,281996.000000,302450.377370
4096,729629.570375,163462.000000,183782.248104
8192,915968.895459,116933.000000,334523.654138
16384,862609.903334,126638.000000,564465.490771
32768,1212518.917225,230141.000000,979226.450516
65536,1421795.957116,246138.000000,871179.315494
