frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,58964.817561,20589.000000,68.956508
4,162247.071101,82841.000000,28.213472
8,108287.623803,51788.000000,190.475720
16,65188.352909,31241.000000,272.811290
32,443995.384602,279984.000000,1244.865053
64,208138.023492,129090.000000,3356.112185
128,606054.514220,288418.000000,15451.348194
256,204794.882165,82062.000000,2925.566612
512,264115.036654,167918.000000,44612.654124
1024,165645.081919,52145.000000,13054.643388
2048,297122.351764,116310.000000,11869.177014
4096,446301.312874,202505.000000,33745.095273
8192,371251.562861,296436.000000,64229.285852
16384,194245.739549,64796.000000,112656.043477
32768,343027.402532,84622.000000,114651.659783
65536,581954.053064,259143.000000,424831.978654
