frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,231891.682516,125441.000000,14.142136
4,247156.269457,135090.000000,1026.193939
8,282846.880110,245278.000000,246.655630
16,175595.983744,101814.000000,707.522438
32,114561.195210,72603.000000,157.190967
64,350476.017189,254396.000000,1767.929014
128,391849.769045,230906.000000,4976.660728
256,303733.072231,155869.000000,9820.703794
512,241068.665459,87741.000000,5866.208145
1024,294094.646475,215609.000000,3158.695933
2048,270128.540937,226126.000000,38579.934344
4096,532888.403639,252632.000000,124343.376321
8192,223180.067607,103374.000000,94325.993348
16384,499458.932750,204892.000000,462438.157148
32768,392513.789922,116775.000000,335030.918234
65536,144255.648922,94373.000000,50977.793773
