frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,396776.800208,230090.000000,1992.470828
4,250768.097664,139203.000000,6215.164921
8,521913.124555,234867.000000,1549.637054
16,154418.907981,122683.000000,2396.294431
32,189098.533212,106171.000000,862.582170
64,666549.950038,291715.000000,4151.555371
128,141719.385329,47655.000000,2341.023494
256,126855.315537,55423.000000,10199.482536
512,355503.486052,105320.000000,25212.055172
1024,661727.226872,180215.000000,183324.719083
2048,684586.001972,240792.000000,224185.629336
4096,184329.676889,47580.000000,63204.140466
8192,195573.513542,59135.000000,149828.466858
16384,481304.142956,133875.000000,226774.690085
32768,244657.897465,29756.000000,31254.487214
65536,702914.586724,254096.000000,298220.296704
