frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,222927.904586,78511.000000,60973.025241
4,552838.032240,240493.000000,1648.525705
8,101846.243618,46594.000000,1146.838262
16,283446.046556,117759.000000,5584.484578
32,451959.613316,233617.000000,6348.058916
64,301693.377436,120434.000000,28598.438454
128,517222.306768,284415.000000,18109.943015
256,207868.232421,44697.000000,531.543977
512,750056.218324,344051.000000,22756.616357
1024,410264.875633,197927.000000,28780.411707
2048,913137.799098,287064.000000,56891.254363
4096,251377.869573,82798.000000,25494.324290
8192,618504.688619,112892.000000,387840.626665
16384,423018.046084,117411.000000,312461.061848
32768,608157.281010,149285.000000,562521.151039
65536,396647.269504,127243.000000,373358.751653
