Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
36,4.073000,262144.000000,135747.959204,85735.000000
36,4.639000,32768.000000,101386.407930,67164.000000
36,5.649000,4096.000000,190334.496986,71542.000000
36,7.918000,512.000000,74850.236559,16644.000000
36,16.772000,64.000000,23002.579529,1188.000000
36,30.000000,6.000000,26251.437865,1242.000000
36,30.000000,9.000000,33370.153985,2580.000000
36,30.000000,12.000000,26229.127873,2095.000000
36,30.000000,15.000000,29461.977106,2093.000000
36,30.000000,18.000000,34952.503988,2672.000000
