frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,824264.313450,34578.000000,6065.169495
4,869678.513676,36293.000000,14691.678189
8,558317.481188,23290.000000,2915.258994
16,1057993.935204,35698.000000,17317.549596
32,1457063.914668,56064.000000,26911.822476
64,1544108.118962,52029.000000,80089.811275
128,2031076.052244,84250.000000,128247.242688
256,1618392.686642,50802.000000,131026.320844
512,2069385.744590,70107.000000,98312.255879
1024,1486798.833005,48833.000000,239533.497804
2048,676137.940906,27218.000000,81216.716912
4096,3620149.608619,108717.000000,1335099.046673
8192,2661827.924401,83189.000000,629693.524784
16384,2904788.620251,99092.000000,911112.845925
32768,3063349.665601,108377.000000,729484.678352
65536,1996810.530435,81794.000000,1473828.586901
