frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,811929.475509,21727.000000,11057.303876
4,1359548.080726,41939.000000,39305.529128
8,766065.451646,21037.000000,24834.013369
16,1516133.882810,52472.000000,25932.449961
32,1127032.464084,37307.000000,36186.280315
64,1880975.897369,53304.000000,51430.046996
128,1465050.038759,41105.000000,111519.296142
256,1967158.036966,63743.000000,114304.884694
512,2041872.956786,69845.000000,133523.051006
1024,1524671.380453,53723.000000,318089.187323
2048,1278138.192642,48259.000000,367720.328377
4096,1473970.365629,42818.000000,441939.011088
8192,4504707.425021,130525.000000,1265905.095816
16384,2496677.793080,80435.000000,1537648.045037
32768,2360597.669954,84797.000000,2146929.595894
65536,861711.606875,31127.000000,0.000000
