frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,854242.273335,33914.000000,13579.569544
4,660366.662708,31296.000000,27516.934386
8,1555643.021713,57050.000000,58409.396025
16,1596243.516282,70281.000000,61553.474402
32,1762963.340080,68519.000000,58839.381446
64,1926945.693644,63580.000000,121926.862049
128,2014246.704359,72154.000000,96326.785813
256,1731656.263099,59244.000000,185052.774146
512,2172318.805270,78259.000000,270441.643733
1024,1558244.859253,70509.000000,191270.399950
2048,2351042.229121,89880.000000,532781.664923
4096,1996675.513723,71357.000000,482933.912823
8192,2774894.431791,91986.000000,579432.900424
16384,2629177.663239,95556.000000,502756.038499
32768,582494.709640,33287.000000,452781.109243
65536,3116962.159868,103536.000000,2792623.477928
