frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,888830.718245,31670.000000,5420.468338
4,885532.747190,34267.000000,11448.878766
8,1163889.182529,43197.000000,29817.568697
16,1579448.268540,57673.000000,117210.900730
32,1766209.500387,65644.000000,54601.573723
64,1597595.215408,55732.000000,56538.533647
128,2192458.804280,78746.000000,68445.922881
256,2275031.386027,76331.000000,263495.612094
512,2035467.181169,60942.000000,217297.364844
1024,1482630.487188,65922.000000,206375.778138
2048,2655268.812231,94946.000000,800833.048802
4096,999287.149450,32937.000000,167203.858604
8192,2773823.996553,83134.000000,836180.257790
16384,857688.783069,32073.000000,157055.495708
32768,3175331.173433,101685.000000,2023577.470013
65536,3228244.438715,102351.000000,2554960.473267
