frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,944186.477230,28627.000000,5968.611899
4,774445.750832,36774.000000,2935.417176
8,401061.792025,17043.000000,4776.162058
16,822766.805680,28033.000000,17806.715615
32,1508698.397112,53359.000000,46160.441083
64,1990709.121370,71096.000000,48269.688325
128,1833999.611408,65283.000000,105481.068737
256,2045279.830293,63919.000000,170739.093909
512,1508686.759275,59967.000000,233823.215084
1024,1845791.109547,68219.000000,150396.002444
2048,1726624.826164,61221.000000,352327.945813
4096,2949880.794392,89509.000000,915037.938707
8192,2181128.840351,65344.000000,282388.284022
16384,2462771.219707,77400.000000,1463214.058006
32768,2658588.791216,82744.000000,912169.148129
65536,5934255.457234,143977.000000,2283145.676877
