frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,515053.588695,22995.000000,17549.065046
4,361711.426597,12674.000000,6304.775254
8,1446623.054402,46520.000000,31225.549411
16,1306470.547604,43561.000000,6478.092852
32,1445446.443904,49694.000000,10885.545462
64,1654608.244012,52198.000000,44275.977640
128,2033971.785410,65035.000000,154845.105864
256,1927161.109809,54893.000000,57009.659620
512,1675507.012402,52571.000000,125219.280333
1024,2370874.218686,67575.000000,506245.938205
2048,2882329.588905,85914.000000,733362.750330
4096,2707321.467981,88503.000000,514176.331467
8192,2802255.380643,85147.000000,295443.903474
16384,3823679.215768,104553.000000,665967.455570
32768,2405500.483124,81194.000000,586369.228305
65536,1181803.458454,41096.000000,0.000000
