frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,22279305.612945,491321.000000,436221.612247
4,21283866.719841,491088.000000,724498.712182
8,21609045.966858,499836.000000,490277.718259
16,22345276.000158,493324.000000,547201.550234
32,21351339.957408,501769.000000,921584.335391
64,21974436.279899,495196.000000,1383508.436042
128,21475143.018359,497426.000000,1038622.240292
256,21579874.480438,499147.000000,2010343.860471
512,23593698.897550,503433.000000,1428776.928051
1024,21564929.149540,491746.000000,1482002.048568
2048,23746768.064558,506091.000000,4084771.574162
4096,26022316.638157,519659.000000,9127031.480993
8192,17198782.430796,403703.000000,1083438.282238
16384,19463716.360244,432774.000000,9156868.593918
32768,19413398.427228,426951.000000,6794950.261562
65536,26701612.222460,497458.000000,9934975.122232
