frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,56620479.144864,870209.000000,1273041.478945
4,57186857.940754,879320.000000,1231605.020074
8,634501.545046,21882.000000,20010.376658
16,1137959.562070,48820.000000,1348.322662
32,1827566.348070,64690.000000,4773.671438
64,56590478.402437,863249.000000,2513947.584646
128,30199302.160182,531224.000000,390909.910704
256,2149502.910472,79104.000000,151694.036402
512,30437879.322605,550753.000000,2866080.225224
1024,1678888.437928,63118.000000,282078.811305
2048,1954258.508295,69655.000000,327829.139617
4096,55981060.907480,847132.000000,16580255.881074
8192,31635899.798521,535451.000000,5937261.009615
16384,56538868.264829,853500.000000,14783745.458191
32768,58596031.009204,882538.000000,24324230.927501
65536,55004460.602675,835658.000000,30150371.029401
