frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,94074270.347334,2279626.000000
4,1805326.357910,1010828.000000
8,173449459.882443,3377408.000000
16,96784560.520708,2311445.000000
32,177189742.753803,3473297.000000
64,2832321.674513,1005867.000000
128,2095974.279022,854823.000000
256,851603.636067,243693.000000
512,835160.662556,251339.000000
1024,4047974.159899,1224662.000000
2048,168644067.561595,3581379.000000
4096,204048387.515049,3427521.000000
8192,2395012.923015,771427.000000
16384,199229862.205708,3558961.000000
32768,83097348.844572,2363965.000000
65536,132117998.200110,2197808.000000
