frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,398762.501750,330853.000000,0.000000
4,389414.962256,148255.000000,0.000000
8,378978.215906,185971.000000,0.000000
16,1014670.540550,310666.000000,0.000000
32,397641.002712,262183.000000,0.000000
64,292182.732541,200608.000000,0.000000
128,459667.269926,369853.000000,0.000000
256,107852.840533,39573.000000,0.000000
512,534489.565632,286710.000000,0.000000
1024,381919.211559,247686.000000,0.000000
2048,660759.163485,266933.000000,0.000000
4096,1020213.609810,290186.000000,0.000000
8192,1121545.941696,382426.000000,0.000000
16384,602129.577540,133089.000000,0.000000
32768,650933.349637,143629.000000,0.000000
65536,1393364.449072,252744.000000,0.000000
