frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,289458.740055,241943.000000,0.000000
4,240567.678475,174777.000000,0.000000
8,139956.706624,61587.000000,0.000000
16,751963.381830,290791.000000,0.000000
32,670640.159685,303778.000000,0.000000
64,119366.600081,53672.000000,0.000000
128,498798.127125,254663.000000,0.000000
256,132783.650891,107583.000000,0.000000
512,486600.585718,242648.000000,0.000000
1024,697522.639808,292015.000000,0.000000
2048,643400.961236,273610.000000,0.000000
4096,254831.271855,118137.000000,0.000000
8192,175660.768830,50531.000000,0.000000
16384,693003.667554,292851.000000,0.000000
32768,441451.021733,159400.000000,0.000000
65536,905765.500518,244855.000000,0.000000
