frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,639055.885594,275602.000000,0.000000
4,680385.109038,234376.000000,0.000000
8,479050.199883,230531.000000,0.000000
16,1646097.404149,300727.000000,0.000000
32,1272698.357757,298267.000000,0.000000
64,412389.813361,226798.000000,0.000000
128,955570.736895,237511.000000,0.000000
256,1621340.040968,302620.000000,0.000000
512,835167.353053,309572.000000,0.000000
1024,2143990.843070,302575.000000,0.000000
2048,1602367.436531,303001.000000,0.000000
4096,1904582.814241,289558.000000,0.000000
8192,1245204.695915,270906.000000,0.000000
16384,1919495.303453,278160.000000,0.000000
32768,1043647.191792,178729.000000,0.000000
65536,4315388.353023,300857.000000,0.000000
