frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,219674.328632,162175.000000,0.000000
4,983807.155763,325822.000000,0.000000
8,510004.742486,277938.000000,0.000000
16,816565.312125,304637.000000,0.000000
32,425246.459105,225481.000000,0.000000
64,258959.320124,130022.000000,0.000000
128,755206.122120,288534.000000,0.000000
256,622241.900151,270352.000000,0.000000
512,564120.677136,282279.000000,0.000000
1024,912428.601169,251872.000000,0.000000
2048,1087863.136163,318264.000000,0.000000
4096,792960.818803,290738.000000,0.000000
8192,416209.215714,175467.000000,0.000000
16384,1375492.017097,289236.000000,0.000000
32768,288149.964874,159919.000000,0.000000
65536,563833.459484,124476.000000,0.000000
