frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,242479.953518,214514.000000,28.178006
4,256451.986617,114681.000000,175.294039
8,452375.585986,179995.000000,5820.872357
16,586636.068980,272741.000000,4274.907718
32,247477.858385,105847.000000,109.790710
64,165820.990924,66484.000000,573.897203
128,402165.960146,176734.000000,4607.228125
256,348047.101091,129515.000000,412.269329
512,409029.381981,212561.000000,2948.078357
1024,1035956.411671,324811.000000,17555.128254
2048,764161.787050,326922.000000,9834.201594
4096,832765.091049,287043.000000,396344.134832
8192,599500.706482,179835.000000,133670.435673
16384,554562.030355,185745.000000,436348.495137
32768,886524.511469,311591.000000,141274.398215
65536,1153552.470522,277802.000000,994084.520734
