frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,118521.770992,48477.000000,0.000000
4,558779.078183,155437.000000,0.000000
8,461309.719630,166951.000000,0.000000
16,970555.746340,298306.000000,0.000000
32,634357.194235,294065.000000,0.000000
64,618494.169164,233701.000000,0.000000
128,927633.224561,306393.000000,0.000000
256,598578.303980,298499.000000,0.000000
512,505519.154925,197623.000000,0.000000
1024,1414151.004122,285867.000000,0.000000
2048,926034.302765,281076.000000,0.000000
4096,1109547.678767,287651.000000,0.000000
8192,556119.751184,308253.000000,0.000000
16384,1240416.054114,302242.000000,0.000000
32768,1665988.687549,282962.000000,0.000000
65536,2504731.934754,176576.000000,0.000000
