frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,762294.270782,253616.000000,0.000000
4,215295.533837,108001.000000,0.000000
8,298688.607456,117538.000000,0.000000
16,798924.938418,268063.000000,0.000000
32,611194.859136,266690.000000,0.000000
64,503295.128138,304290.000000,0.000000
128,729779.701557,297104.000000,0.000000
256,820078.053349,286126.000000,0.000000
512,749326.607099,284060.000000,0.000000
1024,438985.224814,202137.000000,0.000000
2048,1160062.024658,320875.000000,0.000000
4096,1640961.410517,280403.000000,0.000000
8192,1092066.514120,191550.000000,0.000000
16384,739687.650096,199364.000000,0.000000
32768,2357532.290781,175000.000000,0.000000
65536,1019656.941800,83518.000000,0.000000
