frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,552615.816618,299478.000000,46.636895
4,381607.664387,217058.000000,45.000000
8,393256.982500,228950.000000,335.256618
16,264261.186584,132265.000000,246.953437
32,602156.033652,260480.000000,300.001667
64,692348.768803,308653.000000,1703.185251
128,645841.655622,269810.000000,467.039613
256,1036260.534429,297992.000000,5657.746901
512,448519.098210,265346.000000,18357.758741
1024,857579.746606,296612.000000,28548.958755
2048,759964.735483,269688.000000,172294.335548
4096,693224.745039,333110.000000,220943.549994
8192,688834.723718,292052.000000,26298.969600
16384,2490250.720629,286252.000000,292315.491847
32768,411001.750299,270801.000000,162790.057190
65536,473333.663705,219911.000000,274823.359069
