frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,469594.985122,269282.000000,0.000000
4,123045.469575,85660.000000,0.000000
8,414170.496205,267533.000000,0.000000
16,327428.329555,308472.000000,0.000000
32,240674.210156,115565.000000,0.000000
64,483351.326577,314785.000000,0.000000
128,438960.335331,316383.000000,0.000000
256,271109.072917,175925.000000,0.000000
512,1138643.438902,411708.000000,0.000000
1024,401265.009443,243390.000000,0.000000
2048,485429.866640,302455.000000,0.000000
4096,399019.478383,197193.000000,0.000000
8192,132733.316650,71605.000000,0.000000
16384,59338.223667,18035.000000,0.000000
32768,450470.351911,198833.000000,0.000000
65536,576398.942339,220777.000000,0.000000
