frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,119023.945498,53271.000000,49.254441
4,479527.294306,262689.000000,48.155997
8,197684.763540,98158.000000,44.575778
16,188773.000297,92535.000000,13.601471
32,258917.407422,98559.000000,168.000000
64,492259.252165,302002.000000,3567.365695
128,180876.330209,118289.000000,1906.732283
256,851507.568042,315260.000000,6535.966876
512,520509.843685,307048.000000,59229.092961
1024,871053.265627,269330.000000,132753.806269
2048,613772.353595,268481.000000,274209.243276
4096,446655.760879,203098.000000,31707.330493
8192,746871.478394,276605.000000,377563.110664
16384,790888.121824,262169.000000,448065.238131
32768,369111.151049,148300.000000,150565.563427
65536,873311.089635,222884.000000,843926.735039
