Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
20,4.073000,262144.000000,1018317.341244,218578.000000
20,4.639000,32768.000000,2121500.934856,320317.000000
20,5.649000,4096.000000,3582528.228296,309788.000000
20,7.918000,512.000000,6749333.675475,307487.000000
20,16.772000,64.000000,13475961.914872,301818.000000
20,30.000000,6.000000,14525671.879690,303998.000000
20,30.000000,9.000000,14062129.318549,304216.000000
20,30.000000,12.000000,13818314.036752,304939.000000
20,30.000000,15.000000,13424537.032250,303774.000000
20,30.000000,18.000000,13043803.256967,308956.000000
