frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,2762550.002659,206578.000000,222.656686
4,3694209.021933,264804.000000,16549.477756
8,3331002.500819,282177.000000,46235.333502
16,5865448.519727,296271.000000,193778.954471
32,6193893.133606,302114.000000,202845.735893
64,7157614.450902,302658.000000,150165.810426
128,6575738.391533,307323.000000,212859.764707
256,7611416.019565,305191.000000,400364.545265
512,8658873.642614,305062.000000,532113.016643
1024,7937977.340253,306283.000000,1536689.913405
2048,8150109.172476,298062.000000,154705.084690
4096,6954118.961852,301249.000000,2396069.013127
8192,5416929.525870,186634.000000,3650453.806009
16384,7112527.867127,307821.000000,439318.926185
32768,6748317.931367,244817.000000,2566349.538608
65536,5352124.419697,303095.000000,0.000000
