frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,3757089.660931,231085.000000,0.000000
4,3626871.681490,305371.000000,0.000000
8,5502478.721633,296829.000000,0.000000
16,7087096.128556,306179.000000,0.000000
32,6411841.886424,290081.000000,0.000000
64,7140805.045330,298810.000000,0.000000
128,6708338.362224,277110.000000,0.000000
256,7084621.999764,298584.000000,0.000000
512,5815845.421615,302104.000000,0.000000
1024,7148862.753627,289792.000000,0.000000
2048,5197029.176625,266022.000000,0.000000
4096,8438266.721328,305837.000000,0.000000
8192,8085262.207146,304060.000000,0.000000
16384,4607330.728046,306460.000000,0.000000
32768,3253556.114723,115133.000000,0.000000
65536,6554255.911877,247366.000000,0.000000
