frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,2684450.497488,271207.000000,215.949068
4,4541942.939511,277688.000000,267.576157
8,5439060.042754,304308.000000,45788.007961
16,6050531.212255,305428.000000,46227.242682
32,7171209.469363,303962.000000,200127.481639
64,6761614.465734,297046.000000,228526.474444
128,6487138.840126,302697.000000,500751.117226
256,5689354.157001,297640.000000,390232.429110
512,7375674.077481,302812.000000,618689.824172
1024,8855781.247008,304097.000000,610203.292070
2048,4235624.422416,252966.000000,1246620.652172
4096,4350556.333375,189927.000000,1767013.624199
8192,2301044.135161,112382.000000,1492145.699557
16384,4945947.218772,240763.000000,2300405.298624
32768,4052285.940485,145242.000000,2307431.664786
65536,5525338.328859,253132.000000,4509419.310227
