frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,6239435.349064,298575.000000,0.000000
4,4013893.914840,280200.000000,0.000000
8,5199016.613597,305331.000000,0.000000
16,5843488.534257,298665.000000,0.000000
32,4114528.595558,300674.000000,0.000000
64,5259723.006500,267677.000000,0.000000
128,6097839.421015,282900.000000,0.000000
256,5279719.498317,287944.000000,0.000000
512,6405855.347132,305705.000000,0.000000
1024,6642348.723359,305000.000000,0.000000
2048,7909214.954950,308008.000000,0.000000
4096,9157888.256845,304036.000000,0.000000
8192,8004302.016303,286464.000000,0.000000
16384,9077146.310689,280764.000000,0.000000
32768,4395199.981701,163014.000000,0.000000
65536,1634279.251353,85038.000000,0.000000
