frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,4559949.720635,305108.000000,0.000000
4,3010526.792440,253461.000000,0.000000
8,4823046.323046,285273.000000,0.000000
16,6087278.308656,297809.000000,0.000000
32,5443143.415823,281377.000000,0.000000
64,7102318.540652,299991.000000,0.000000
128,8110951.218321,306746.000000,0.000000
256,8245883.674447,298474.000000,0.000000
512,7782985.410049,301233.000000,0.000000
1024,6086092.165309,305355.000000,0.000000
2048,6206551.495933,276921.000000,0.000000
4096,4999660.922462,266595.000000,0.000000
8192,4407268.823033,279939.000000,0.000000
16384,2451573.679132,120903.000000,0.000000
32768,9087124.967016,303612.000000,0.000000
65536,7851081.929495,303406.000000,0.000000
