frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,1277086.998591,112045.000000,5516.456653
4,4211245.656915,242233.000000,8685.869905
8,4601141.796427,237662.000000,321.070086
16,4482162.319540,299950.000000,242510.008822
32,4822401.989966,294416.000000,202692.092014
64,5900793.795432,303937.000000,3235.633168
128,7345829.405264,304266.000000,700963.303725
256,7240220.740520,286631.000000,120625.582465
512,6955876.039099,301407.000000,1002548.385761
1024,7406329.589227,285935.000000,1071119.764953
2048,8135803.491249,303617.000000,322523.707812
4096,7909564.243449,303617.000000,525270.124254
8192,5921841.538555,251490.000000,3045666.450082
16384,6096147.949666,297578.000000,2099089.222760
32768,5558996.254568,305531.000000,1144283.174144
65536,8561772.286579,251158.000000,7580126.706216
