frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,5949660.390869,303096.000000,68.541958
4,5144839.772307,304757.000000,104788.017092
8,4553659.262789,246795.000000,3150.394261
16,5834130.113026,300116.000000,124451.604489
32,7213361.975267,302843.000000,30402.093513
64,8699545.054451,299910.000000,442940.822367
128,7778756.538351,304193.000000,369191.303704
256,7941311.018635,298691.000000,200484.656602
512,8965581.586719,303191.000000,1279951.710736
1024,4451859.286762,288230.000000,329956.526909
2048,5448086.847969,304023.000000,931347.174689
4096,8761559.586744,298153.000000,1854614.965590
8192,5716495.875691,195348.000000,2879624.564935
16384,6599883.062338,294198.000000,2002413.219071
32768,11051045.229256,306297.000000,2536881.018523
65536,3426597.628423,199963.000000,705157.755273
